filename,extension,size_mb,is_scanned,strategy,pii_fields
d1e33a57-f903-49b0-b4d9-0f17c286f76cDelta B6 1B_CEE_V2.pdf,.pdf,0.2244739532470703,False,PyMuPDF,0
7478e733-9df9-4a00-8f1b-0f5b0d1dd5b9J01_LPR-5_fd.pdf,.pdf,0.2641286849975586,False,PyMuPDF,0
df35f14a-e31c-4ca8-9f31-32ebca9fde1b4. S3 CIE.pdf,.pdf,0.787358283996582,False,PyMuPDF,0
f3e26465-71dd-4f4e-8de5-9df8283004c25. LRE386 Solicitud IRVE.pdf,.pdf,1.0017871856689453,False,PyMuPDF,0
9d5082a9-c923-49b0-b454-5a4e55fe13232.  S3 DR_sinfirma.pdf,.pdf,0.47517871856689453,False,PyMuPDF,0
ae01f43b-8b3a-4b10-b391-4e8277cf70673. Anexo IRVE.docx,.docx,0.3217144012451172,False,python-docx,0
b3b9bba4-0657-44be-a66d-0d584265a3032. DR ECOOO C361_fda Javier.pdf FD.pdf,.pdf,0.1342630386352539,False,PyMuPDF,0
2ec07714-b039-408f-9e4c-c8298f41e5f01.  LRE012 CIE IRVE.pdf,.pdf,0.8403215408325195,False,PyMuPDF,0
3d299775-eff1-4505-8b3c-f5ecdc2e3f76J01_LPR0700-7-fd.pdf,.pdf,0.31534671783447266,False,PyMuPDF,0
75b0be44-7dd3-4099-becc-057787de726cDelta B16 3B_CEE_ - copia.pdf,.pdf,0.2866554260253906,False,PyMuPDF,0
15041b2b-eb58-46a7-be6c-21773f6ccfccIMS301_CEE 2º fd.pdf,.pdf,0.2927255630493164,False,PyMuPDF,0
5d7e2757-a997-4859-bdc0-d521063c1df01. Solicitud_coope_fase 2.pdf,.pdf,1.574859619140625,False,PyMuPDF,0
392848cc-0c5b-40c7-a83f-1835b5e7be5a2. MTD.pdf,.pdf,2.8743534088134766,False,PyMuPDF,0
497c54ef-a241-4553-8e1a-2133f304ca78Just registro_22-12-2023.pdf,.pdf,1.019516944885254,False,PyMuPDF,0
cb7579ad-e559-486d-9eeb-70c31589643d4. CIE AU085-7 FD (1) BTNI-420352.06 25.pdf,.pdf,0.23221683502197266,False,PyMuPDF,0
69d4e830-6210-4e93-92e9-3adcca3dd7a94. CIE fd.pdf,.pdf,0.29898929595947266,False,PyMuPDF,0
1c9b592c-5d59-4532-8e00-9f133402071d3. LRE275 Anexo IRVE_sin fir.pdf,.pdf,0.5137405395507812,False,PyMuPDF,0
dde00a44-06da-434a-ace3-c731870cd7f4J01. Informe justificativo-224.pdf,.pdf,0.19043827056884766,False,PyMuPDF,0
9587e932-e6d1-412a-87c4-4b1b56f029b53. S4-1 Solicitud.pdf,.pdf,1.0082883834838867,False,PyMuPDF,0
f3913ba9-7113-490e-9267-049326c5699a2. S3 DR.pdf,.pdf,0.6454572677612305,False,PyMuPDF,0
7b6ccd5a-0597-4103-881b-3d1800fcdffbC325 CEE.pdf,.pdf,0.3008556365966797,False,PyMuPDF,0
b425ac7c-9a84-4dc3-b87f-fdcd03bd8bd4J01P2-3.pdf,.pdf,0.1849355697631836,False,PyMuPDF,0
efa45d08-ba73-4444-bdf4-176fb49b93751. LRE235 CIE IRVE2 fd.pdf,.pdf,0.2626333236694336,False,PyMuPDF,0
6149b357-e755-486a-84a5-cf3952d2bbbf1. LRE225 CIE_IRVE.pdf,.pdf,0.7874116897583008,False,PyMuPDF,0
0b36cd2f-f03f-45a8-942b-c1db8b13ab99A1B_CEE_V3.pdf,.pdf,0.2557363510131836,False,PyMuPDF,0
1156840d-e363-4f25-a848-d9d5e3a7e16dAU044 MC PS 17 3B_V1.pdf,.pdf,0.2864542007446289,False,PyMuPDF,0
e491a933-812f-4941-90b4-5007a161935f0.4 AU074 CFO VISADO.pdf,.pdf,0.37449169158935547,False,PyMuPDF,0
406a9ef5-40f6-4005-86c8-1ac16aa698a05.1.  CIE.pdf,.pdf,0.7109766006469727,False,PyMuPDF,0
6ace1cab-8780-45a8-b36a-78e41d9b7a665.1.  CIE.pdf,.pdf,0.7867765426635742,False,PyMuPDF,0
f5586aae-b936-4c98-a978-305d6f7d8807LIBRO SUBCONTRATACION LA PABLO 10-TRAMITADO.pdf,.pdf,0.07041740417480469,False,PyMuPDF,0
431f9a6e-bb35-4c00-992c-4946208529bdDelta B7 1B_CEE_V2.pdf,.pdf,0.22409534454345703,False,PyMuPDF,0
f88f6804-3421-4b1c-9a13-1ec356e30eea3. Anexo ESQUEMA IRVE_COOP.docx,.docx,0.2249011993408203,False,python-docx,0
03c1ebda-a236-45cc-8eeb-9a11682b08c8J01. Informe justificativo-246.pdf,.pdf,0.19042396545410156,False,PyMuPDF,0
